언론사명,순위,기사제목,기사링크,수집일자
한겨레,1위,"인간용 냉장고, 벌써 200대 팔려…살려고 들어가면 5℃ 냉풍",https://n.news.naver.com/article/028/0002817417?ntype=RANKING,2026-08-07 15:09:55.312937+09:00
한겨레,2위,“‘규원쌤’이 소변 실수 속옷 빨아줬다”…‘SNL 김규원’ 미담 알려져,https://n.news.naver.com/article/028/0002817575?ntype=RANKING,2026-08-07 15:09:55.315374+09:00
한겨레,3위,육사는 여전히 ‘특권 계급’…사관학교 개혁이 필요한 이유,https://n.news.naver.com/article/028/0002817537?ntype=RANKING,2026-08-07 15:09:55.316586+09:00
한겨레,4위,‘심판 성접대’ 월드컵·올림픽 축구 무패…4강 신화도 의심받나,https://n.news.naver.com/article/028/0002817579?ntype=RANKING,2026-08-07 15:09:55.317547+09:00
한겨레,5위,“윤석열 영화비·밥값 내역 공개” 판결 대법서 뒤집혀…이미 대통령기록관 이관,https://n.news.naver.com/article/028/0002817555?ntype=RANKING,2026-08-07 15:09:55.318464+09:00
YTN,1위,"[속보] 국힘 윤리위, '돌려차기 실언' 서범수·진종오 징계절차 개시",https://n.news.naver.com/article/052/0002390191?ntype=RANKING,2026-08-07 15:09:55.319517+09:00
YTN,2위,"""외국인 심판에 성접대한 한국 축구""...주요 외신 집중 보도",https://n.news.naver.com/article/052/0002390192?ntype=RANKING,2026-08-07 15:09:55.320813+09:00
YTN,3위,"""이런 보험이 있어?""...40도 폭염이 깨운 '기후보험' [앵커리포트]",https://n.news.naver.com/article/052/0002390169?ntype=RANKING,2026-08-07 15:09:55.321822+09:00
YTN,4위,[날씨] '입추' 무색하게도 서울 금천구 38.4℃...주말 동쪽 호우,https://n.news.naver.com/article/052/0002390206?ntype=RANKING,2026-08-07 15:09:55.322776+09:00
YTN,5위,"여야, 부동산 '네 탓 공방'...'세금 역풍' 우려도",https://n.news.naver.com/article/052/0002390178?ntype=RANKING,2026-08-07 15:09:55.323628+09:00
KBS,1위,"갯바위에 낚시 장비만 덩그러니…밤새 찾은 실종자, 어디에?",https://n.news.naver.com/article/056/0012233413?ntype=RANKING,2026-08-07 15:09:55.324881+09:00
KBS,2위,‘서울 39도’ 입추 폭염 절정…내일부터 극한 더위 누그러져,https://n.news.naver.com/article/056/0012233483?ntype=RANKING,2026-08-07 15:09:55.325862+09:00
KBS,3위,‘해병 순직 책임’ 임성근 전 사단장 2심도 징역 3년,https://n.news.naver.com/article/056/0012233454?ntype=RANKING,2026-08-07 15:09:55.326741+09:00
KBS,4위,"“선관위, 전국 4곳서 6·3 지방선거 득표수 사후 수정”",https://n.news.naver.com/article/056/0012233446?ntype=RANKING,2026-08-07 15:09:55.327629+09:00
KBS,5위,‘부동산 대책’ 충돌 계속…“공급 입법 협조하라” “세금 폭탄”,https://n.news.naver.com/article/056/0012233456?ntype=RANKING,2026-08-07 15:09:55.328508+09:00
헤럴드경제,1위,"“나가주세요, 제가 살게요” 집주인 귀환에 ‘퇴거 공포’ [부동산360]",https://n.news.naver.com/article/016/0002680761?ntype=RANKING,2026-08-07 15:09:55.329503+09:00
헤럴드경제,2위,"[속보] 李대통령, 규제합리위 부위원장에 김태유·국립외교원장에 김흥규 임명",https://n.news.naver.com/article/016/0002680965?ntype=RANKING,2026-08-07 15:09:55.330369+09:00
헤럴드경제,3위,"“바지 벗고 앞뒤로 돌아야했다”…탈북 방송인 “기쁨조 검사, 수치스러웠다”",https://n.news.naver.com/article/016/0002680760?ntype=RANKING,2026-08-07 15:09:55.331351+09:00
헤럴드경제,4위,“귀걸이인 줄 알았다” 여성 귀에 달린 ‘이것’ 난리…삼성 ‘초유의 기기’ 드디어 나온다,https://n.news.naver.com/article/016/0002680635?ntype=RANKING,2026-08-07 15:09:55.332219+09:00
헤럴드경제,5위,"‘부동산 반격’ 나선 장동혁 “李, 밤마다 SNS로 부동산 지옥 만들어” [이런정치]",https://n.news.naver.com/article/016/0002680911?ntype=RANKING,2026-08-07 15:09:55.333094+09:00
JTBC,1위,"느닷없이 ""빵빵""대더니 ""죽여줄까?""…그대로 보행자 들이받아",https://n.news.naver.com/article/437/0000504960?ntype=RANKING,2026-08-07 15:09:55.334096+09:00
JTBC,2위,알프스 빙하 폭염에 '콸콸'…속절없이 사라진 관광 명소,https://n.news.naver.com/article/437/0000504943?ntype=RANKING,2026-08-07 15:09:55.335053+09:00
JTBC,3위,집 팔 바엔 자녀에게…서울 아파트 증여 다시 늘었다,https://n.news.naver.com/article/437/0000505034?ntype=RANKING,2026-08-07 15:09:55.335922+09:00
JTBC,4위,"""회사 매출 10% 달라""…'박나래 협박' 전 매니저들, 재판행 [소셜픽]",https://n.news.naver.com/article/437/0000504982?ntype=RANKING,2026-08-07 15:09:55.336785+09:00
JTBC,5위,"[단독] 심판 마사지라 노골적으로 기안 올리고 부회장 결재까지…문체부 ""협회차원에서 조직적 관리""",https://n.news.naver.com/article/437/0000505045?ntype=RANKING,2026-08-07 15:09:55.337649+09:00
채널A,1위,"이승기 측, 구속된 차가원에 “105억 전세금, 민사 아닌 형사 범죄…엄벌 원해” [자막뉴스]",https://n.news.naver.com/article/449/0000355927?ntype=RANKING,2026-08-07 15:09:55.338967+09:00
채널A,2위,"신동엽, 대학로 공연 폄훼 논란 사과 “경솔한 언행…고개 숙여 사과”",https://n.news.naver.com/article/449/0000355942?ntype=RANKING,2026-08-07 15:09:55.340042+09:00
채널A,3위,‘남아공 졸전’ 입 연 김민재 “선수들도 못 하기는 했다”,https://n.news.naver.com/article/449/0000355965?ntype=RANKING,2026-08-07 15:09:55.340966+09:00
채널A,4위,‘尹 특활비 공개’ 판결 뒤집혀…대법원 “이미 대통령기록관 이관”,https://n.news.naver.com/article/449/0000355922?ntype=RANKING,2026-08-07 15:09:55.341870+09:00
채널A,5위,"국민의힘 윤리위, ‘돌려차기 실언’ 서범수·진종오 징계절차 개시",https://n.news.naver.com/article/449/0000355947?ntype=RANKING,2026-08-07 15:09:55.342768+09:00
이데일리,1위,"""안전할 줄 알고 ETF 샀는데…월급, 휴가비 다 날렸다""",https://n.news.naver.com/article/018/0006346806?ntype=RANKING,2026-08-07 15:09:55.343798+09:00
이데일리,2위,"""서장훈, 28억에 산 '꼬마 빌딩' 450억 매물로...세금 약 140억""",https://n.news.naver.com/article/018/0006346800?ntype=RANKING,2026-08-07 15:09:55.344711+09:00
이데일리,3위,"SK하닉 4%↓, 삼전은 버티기…코스피 1.34%하락",https://n.news.naver.com/article/018/0006346820?ntype=RANKING,2026-08-07 15:09:55.345825+09:00
이데일리,4위,"이란, 호르무즈서 美·이스라엘 선박 아예 막는다",https://n.news.naver.com/article/018/0006346502?ntype=RANKING,2026-08-07 15:09:55.347410+09:00
이데일리,5위,“서울 사람처럼 살아보기” 뜬다,https://n.news.naver.com/article/018/0006346770?ntype=RANKING,2026-08-07 15:09:55.348399+09:00
연합뉴스TV,1위,고점 물린 홍진경·차 값 날린 김원훈…'금융 예능'이 뜬다,https://n.news.naver.com/article/422/0000893320?ntype=RANKING,2026-08-07 15:09:55.349588+09:00
연합뉴스TV,2위,응급실서 침 뱉고 폭언…주짓수로 난동범 제압한 호주 간호사,https://n.news.naver.com/article/422/0000893254?ntype=RANKING,2026-08-07 15:09:55.350516+09:00
연합뉴스TV,3위,중동 긴장 재고조에…코스피·코스닥 하락 전환,https://n.news.naver.com/article/422/0000893384?ntype=RANKING,2026-08-07 15:09:55.351399+09:00
연합뉴스TV,4위,신축 아파트 외벽 테라스가 '와르르'…준공 1년 반 만에 사고,https://n.news.naver.com/article/422/0000893424?ntype=RANKING,2026-08-07 15:09:55.352315+09:00
연합뉴스TV,5위,"""보잉 737 맥스 동체서 균열""…미 항공청, 471대 점검 지시",https://n.news.naver.com/article/422/0000893359?ntype=RANKING,2026-08-07 15:09:55.353182+09:00
한국경제TV,1위,"""원래 이럴 때 사는 겁니다""…영업이익 '43%' 급감했는데 '깜짝 전망'",https://n.news.naver.com/article/215/0001261535?ntype=RANKING,2026-08-07 15:09:55.354201+09:00
한국경제TV,2위,"+23% ""단기에 너무 올랐나""… 6거래일 만에 힘 빠진 코스닥",https://n.news.naver.com/article/215/0001261550?ntype=RANKING,2026-08-07 15:09:55.355272+09:00
한국경제TV,3위,결혼 숨기고 한부모지원금 '꿀꺽'…나랏돈 줄줄 샜다,https://n.news.naver.com/article/215/0001261523?ntype=RANKING,2026-08-07 15:09:55.356284+09:00
한국경제TV,4위,"""안 팔면 된다""...삼전닉스에 물린 홍진경 '분통'에 전문가 조언",https://n.news.naver.com/article/215/0001261492?ntype=RANKING,2026-08-07 15:09:55.357157+09:00
한국경제TV,5위,"""레버리지 현재 사상 최고""…'월가 황제'의 오싹한 경고",https://n.news.naver.com/article/215/0001261493?ntype=RANKING,2026-08-07 15:09:55.358162+09:00
국민일보,1위,국방부 “사관학교 통합 속도감 있게 추진”…李 대통령 의지 반영,https://n.news.naver.com/article/005/0001865540?ntype=RANKING,2026-08-07 15:09:55.359199+09:00
국민일보,2위,전세 사기 피해자 4만명 넘었다… ‘청년·2억 이하’가 대부분,https://n.news.naver.com/article/005/0001865530?ntype=RANKING,2026-08-07 15:09:55.360110+09:00
국민일보,3위,[단독] 노사모 마지막 대표 “노사모 이름 훼손말라”…정청래에 경고장,https://n.news.naver.com/article/005/0001865412?ntype=RANKING,2026-08-07 15:09:55.360988+09:00
국민일보,4위,‘대출 규제 완화’ 목소리 커지자… 구윤철 “청년 등 핀셋 지원 검토”,https://n.news.naver.com/article/005/0001865516?ntype=RANKING,2026-08-07 15:09:55.361956+09:00
국민일보,5위,대한축구협회 심판 성접대 파문…해당 경기서 한국 ‘무패’,https://n.news.naver.com/article/005/0001865544?ntype=RANKING,2026-08-07 15:09:55.362860+09:00
지디넷코리아,1위,"[포토] 드론으로 혹등고래 출산 장면 포착…""경이롭네""",https://n.news.naver.com/article/092/0002433308?ntype=RANKING,2026-08-07 15:09:55.363892+09:00
지디넷코리아,2위,"[AI는 지금] 챗GPT 무료 '무제한' 선언…오픈AI, 구독 전략 다시 짠다",https://n.news.naver.com/article/092/0002433296?ntype=RANKING,2026-08-07 15:09:55.364763+09:00
지디넷코리아,3위,더현대 점령한 '신비의 숲'…10분 매진 'TFT 와일드 팬페스트' 가보니,https://n.news.naver.com/article/092/0002433326?ntype=RANKING,2026-08-07 15:09:55.365617+09:00
지디넷코리아,4위,"최수연, '네이버-엔비디아' 혈맹 강조...""내년 관련 매출 발생""",https://n.news.naver.com/article/092/0002433293?ntype=RANKING,2026-08-07 15:09:55.366529+09:00
지디넷코리아,5위,"화웨이 신형 노트북, 갤S26 울트라 '프라이버시 디스플레이' 기능 품었다",https://n.news.naver.com/article/092/0002433232?ntype=RANKING,2026-08-07 15:09:55.367517+09:00
한겨레21,1위,내년 최저임금 1만700원 확정에… 소송 나선 소상공인들,https://n.news.naver.com/article/036/0000054005?ntype=RANKING,2026-08-07 15:09:55.368543+09:00
한겨레21,2위,"“노사모 팔아서 표나 달래쌓고, 영 못쓰겄어야”",https://n.news.naver.com/article/036/0000054004?ntype=RANKING,2026-08-07 15:09:55.369434+09:00
한겨레21,3위,"무적의 ‘테이크다운’, 아빠의 착취를 꺾어라",https://n.news.naver.com/article/036/0000053997?ntype=RANKING,2026-08-07 15:09:55.370320+09:00
한겨레21,4위,우아함은 노력해서 얻을 수 있을까,https://n.news.naver.com/article/036/0000054002?ntype=RANKING,2026-08-07 15:09:55.371172+09:00
